,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
276,292637,https://www.airbnb.com/rooms/292637,40.67452,-73.96174,Brooklyn
277,640899,https://www.airbnb.com/rooms/640899,40.68228,-73.94645,Brooklyn
279,367810,https://www.airbnb.com/rooms/367810,40.73626,-73.95634,Brooklyn
280,46926774,https://www.airbnb.com/rooms/46926774,40.58535,-73.95849,Brooklyn
285,11948586,https://www.airbnb.com/rooms/11948586,40.63815,-73.95702,Brooklyn
286,13025960,https://www.airbnb.com/rooms/13025960,40.68906,-73.95556,Brooklyn
288,47163530,https://www.airbnb.com/rooms/47163530,40.6567,-73.91408,Brooklyn
290,13109949,https://www.airbnb.com/rooms/13109949,40.69364,-73.95148,Brooklyn
293,13213869,https://www.airbnb.com/rooms/13213869,40.84387,-73.94179,Manhattan
294,13325767,https://www.airbnb.com/rooms/13325767,40.69257,-73.96887,Brooklyn
295,47761307,https://www.airbnb.com/rooms/47761307,40.74783,-73.98878,Manhattan
296,47942202,https://www.airbnb.com/rooms/47942202,40.68693,-73.87378,Brooklyn
297,47804493,https://www.airbnb.com/rooms/47804493,40.62778,-73.96222,Brooklyn
298,2055467,https://www.airbnb.com/rooms/2055467,40.72852,-73.98705,Manhattan
301,871990853610302281,https://www.airbnb.com/rooms/871990853610302281,40.663586,-73.8345318,Queens
302,2022920,https://www.airbnb.com/rooms/2022920,40.78081,-73.95045,Manhattan
303,2042764,https://www.airbnb.com/rooms/2042764,40.66706,-73.98439,Brooklyn
306,2096581,https://www.airbnb.com/rooms/2096581,40.72287,-73.98462,Manhattan
307,2599591,https://www.airbnb.com/rooms/2599591,40.73162,-73.98738,Manhattan
312,2186138,https://www.airbnb.com/rooms/2186138,40.75764,-73.96827,Manhattan
313,2238435,https://www.airbnb.com/rooms/2238435,40.81145,-73.94593,Manhattan
314,2254388,https://www.airbnb.com/rooms/2254388,40.77923,-73.94932,Manhattan
315,807826416863866703,https://www.airbnb.com/rooms/807826416863866703,40.583238575446025,-73.96615878021487,Brooklyn
317,769175,https://www.airbnb.com/rooms/769175,40.8361,-73.94562,Manhattan
319,763600,https://www.airbnb.com/rooms/763600,40.70499,-73.93315,Brooklyn
321,794535,https://www.airbnb.com/rooms/794535,40.75149,-73.99666,Manhattan
322,994767238822016447,https://www.airbnb.com/rooms/994767238822016447,40.6568041,-73.9583001,Brooklyn
